city,year,weekofyear,total_cases
sj,2008,18,14
sj,2008,19,14
sj,2008,20,14
sj,2008,21,14
sj,2008,22,14
sj,2008,23,14
sj,2008,24,14
sj,2008,25,16
sj,2008,26,15
sj,2008,27,22
sj,2008,28,19
sj,2008,29,25
sj,2008,30,41
sj,2008,31,64
sj,2008,32,60
sj,2008,33,55
sj,2008,34,65
sj,2008,35,69
sj,2008,36,94
sj,2008,37,71
sj,2008,38,73
sj,2008,39,56
sj,2008,40,81
sj,2008,41,75
sj,2008,42,71
sj,2008,43,54
sj,2008,44,53
sj,2008,45,52
sj,2008,46,47
sj,2008,47,40
sj,2008,48,53
sj,2008,49,58
sj,2008,50,67
sj,2008,51,71
sj,2008,52,37
sj,2009,1,32
sj,2009,2,41
sj,2009,3,59
sj,2009,4,66
sj,2009,5,65
sj,2009,6,40
sj,2009,7,20
sj,2009,8,18
sj,2009,9,14
sj,2009,10,14
sj,2009,11,14
sj,2009,12,14
sj,2009,13,14
sj,2009,14,14
sj,2009,15,14
sj,2009,16,14
sj,2009,17,14
sj,2009,18,14
sj,2009,19,14
sj,2009,20,14
sj,2009,21,14
sj,2009,22,14
sj,2009,23,14
sj,2009,24,14
sj,2009,25,14
sj,2009,26,16
sj,2009,27,15
sj,2009,28,14
sj,2009,29,19
sj,2009,30,25
sj,2009,31,31
sj,2009,32,34
sj,2009,33,34
sj,2009,34,48
sj,2009,35,55
sj,2009,36,71
sj,2009,37,65
sj,2009,38,91
sj,2009,39,86
sj,2009,40,84
sj,2009,41,74
sj,2009,42,67
sj,2009,43,79
sj,2009,44,66
sj,2009,45,65
sj,2009,46,60
sj,2009,47,46
sj,2009,48,47
sj,2009,49,44
sj,2009,50,44
sj,2009,51,53
sj,2009,52,31
sj,2010,53,34
sj,2010,1,29
sj,2010,2,23
sj,2010,3,26
sj,2010,4,23
sj,2010,5,22
sj,2010,6,38
sj,2010,7,19
sj,2010,8,17
sj,2010,9,16
sj,2010,10,16
sj,2010,11,16
sj,2010,12,16
sj,2010,13,16
sj,2010,14,15
sj,2010,15,15
sj,2010,16,16
sj,2010,17,17
sj,2010,18,16
sj,2010,19,14
sj,2010,20,17
sj,2010,21,18
sj,2010,22,17
sj,2010,23,17
sj,2010,24,20
sj,2010,25,25
sj,2010,26,32
sj,2010,27,55
sj,2010,28,55
sj,2010,29,58
sj,2010,30,61
sj,2010,31,66
sj,2010,32,70
sj,2010,33,79
sj,2010,34,65
sj,2010,35,56
sj,2010,36,64
sj,2010,37,71
sj,2010,38,71
sj,2010,39,69
sj,2010,40,70
sj,2010,41,81
sj,2010,42,77
sj,2010,43,67
sj,2010,44,59
sj,2010,45,51
sj,2010,46,39
sj,2010,47,33
sj,2010,48,33
sj,2010,49,28
sj,2010,50,26
sj,2010,51,26
sj,2011,52,23
sj,2011,1,23
sj,2011,2,24
sj,2011,3,18
sj,2011,4,20
sj,2011,5,19
sj,2011,6,15
sj,2011,7,14
sj,2011,8,14
sj,2011,9,14
sj,2011,10,14
sj,2011,11,14
sj,2011,12,14
sj,2011,13,14
sj,2011,14,14
sj,2011,15,14
sj,2011,16,14
sj,2011,17,14
sj,2011,18,14
sj,2011,19,14
sj,2011,20,14
sj,2011,21,14
sj,2011,22,14
sj,2011,23,14
sj,2011,24,13
sj,2011,25,16
sj,2011,26,18
sj,2011,27,21
